date,weekday,type,title_candidate,goal
2026-08-18,周二,tutorial,手把手教你 10 分钟把照片变成拼豆图纸,立人设
2026-08-19,周三,tutorial,手把手教你 10 分钟把照片变成拼豆图纸,立人设
2026-08-20,周四,tutorial,手把手教你 10 分钟把照片变成拼豆图纸,立人设
2026-08-21,周五,tutorial,手把手教你 10 分钟把照片变成拼豆图纸,立人设
2026-08-22,周六,tutorial,手把手教你 10 分钟把照片变成拼豆图纸,立人设
2026-08-23,周日,tutorial,手把手教你 10 分钟把照片变成拼豆图纸,立人设
2026-08-24,周一,tutorial,手把手教你 10 分钟把照片变成拼豆图纸,立人设
2026-08-25,周二,showcase,拼豆图纸 来了！色号对得上材料那种,立人设
2026-08-26,周三,showcase,拼豆图纸 来了！色号对得上材料那种,立人设
2026-08-27,周四,showcase,拼豆图纸 来了！色号对得上材料那种,立人设
2026-08-28,周五,showcase,拼豆图纸 来了！色号对得上材料那种,立人设
2026-08-29,周六,showcase,拼豆图纸 来了！色号对得上材料那种,立人设
2026-08-30,周日,showcase,拼豆图纸 来了！色号对得上材料那种,立人设
2026-08-31,周一,showcase,拼豆图纸 来了！色号对得上材料那种,立人设
2026-09-01,周二,process,一张照片 → 能拼出来的图纸，太治愈了,接询单
2026-09-02,周三,process,一张照片 → 能拼出来的图纸，太治愈了,接询单
2026-09-03,周四,process,一张照片 → 能拼出来的图纸，太治愈了,接询单
2026-09-04,周五,process,一张照片 → 能拼出来的图纸，太治愈了,接询单
2026-09-05,周六,process,一张照片 → 能拼出来的图纸，太治愈了,接询单
2026-09-06,周日,hot,最近超火的，连夜做了拼豆图纸,接询单
2026-09-07,周一,hot,最近超火的，连夜做了拼豆图纸,接询单
2026-09-08,周二,hot,最近超火的，连夜做了拼豆图纸,转化
2026-09-09,周三,hot,最近超火的，连夜做了拼豆图纸,转化
2026-09-10,周四,hot,最近超火的，连夜做了拼豆图纸,转化
2026-09-11,周五,interact,拼豆新手最怕图纸拼不出来？评论区聊聊,转化
2026-09-12,周六,interact,拼豆新手最怕图纸拼不出来？评论区聊聊,转化
2026-09-13,周日,interact,拼豆新手最怕图纸拼不出来？评论区聊聊,转化
2026-09-14,周一,interact,拼豆新手最怕图纸拼不出来？评论区聊聊,转化
